"Sr. No.","Cluster Name",January,February,March,April,May,June,July,August,September,October,November,December
1,Adoni,2,1,0,0,0,0,0,0,0,0,0,0
2,Agar,0,2,0,0,0,0,0,0,0,0,0,0
3,Balangir,0,1,0,0,0,0,0,0,0,0,0,0
4,Banswara,0,0,0,0,0,0,0,0,0,0,0,0
5,Bidar,0,0,0,0,0,0,0,0,0,0,0,0
6,Deoghar,0,0,0,0,0,0,0,0,0,0,0,0
7,Gadag,0,0,0,0,0,0,0,0,0,0,0,0
8,Gangakhed,0,1,0,0,0,0,0,0,0,1,0,0
9,Jamai,0,0,0,0,0,0,0,0,0,0,0,0
10,"Jamwa Ramgarh",0,0,0,0,0,0,0,0,0,0,0,0
11,Jasdan,0,0,0,0,0,0,0,0,0,0,0,0
12,Kamareddy,0,0,1,0,0,0,0,0,0,0,0,0
13,Karaikudi,0,0,0,0,0,0,0,0,0,0,0,0
14,Mandla,0,0,0,0,0,0,0,0,0,0,0,0
15,Modasa,0,0,0,0,0,0,0,0,0,0,0,0
16,Netrang,0,0,0,0,0,0,0,0,0,0,0,0
17,Panna,0,0,0,0,0,0,0,0,0,0,0,0
18,Radhanpur,0,0,0,0,0,0,0,0,0,0,0,0
19,Rajam,0,0,0,0,0,0,0,0,0,0,0,0
20,Rajnandgaon,0,0,0,0,0,0,0,0,0,0,0,0
21,Rudraprayag,0,0,0,0,0,0,0,0,0,0,0,0
22,"Sawai Madhopur",0,0,0,0,0,0,0,0,0,0,0,0
23,Sendhwa,0,0,0,0,0,0,0,0,0,0,0,0
24,Seoni,0,0,0,0,0,0,0,0,0,0,0,0
25,Uttarkashi,0,0,0,0,0,0,0,0,0,0,0,0
26,Yavatmal,0,0,0,0,0,0,0,0,0,0,0,0
